ID,construct name
S1,comprehension
S2,confusion
S3,comprehensibility
S4,comprehension
S5,understandability
S6,readability
S7,comprehension
S8,comprehension
S9,code complexity
S10,code comprehension
S11,program comprehension
S12,task difficulty
S13,program comprehension
S14,task difficulty
S15,program comprehension
S16,program comprehension
S17,program comprehension
S18,mental effort
S19,code comprehension
S20,code comprehension
S21,program comprehension
S22,code misunderstanding
S23,program comprehension
S24,comprehension
S25,program comprehension
S26,program comprehension
S27,program comprehension
S28,code comprehension
S29,program comprehension
S30,comprehension
S31,program comprehension
S32,readability
S33,code readability
S34,comprehensibility
S35,task difficulty
S36,program comprehension
S37,code reading
S38,program comprehension
S39,comprehension
S40,program complexity
S41,understandability
S42,code readability
S43,comprehension
S44,program comprehension
S45,program comprehension
S46,code comprehension
S47,program comprehension
S48,program comprehension
S49,code comprehension
S50,code comprehension
S51,cognitive load
S52,program comprehension
S53,code comprehension
S54,task difficulty
S55,code review performance
S56,code comprehension
S57,code comprehension
S58,code comprehension
S59,program comprehension
S60,code comprehension
S61,program comprehension
S62,program comprehension
S63,program comprehension
S64,code comprehension
S65,program comprehension
S66,program comprehension
S67,program readability
S68,program comprehension
S69,readability
S70,code comprehension
S71,program comprehension
S72,program comprehension
S73,program comprehension
S74,program comprehension
S75,program comprehension
S76,program comprehension
S77,program comprehension
S78,code comprehension
S79,code comprehension
S80,program comprehension
S81,comprehension
S82,program comprehension
S83,readability
S84,program comprehension
S85,program comprehension
S86,program comprehension
S87,code comprehension
S88,program comprehension
S89,code comprehension
S90,program comprehension
S91,program comprehension
S92,program comprehension
S93,program comprehension
S94,program comprehension
S95,program comprehension