ID,remote vs. onsite,paper vs screen
S1,onsite,screen
S2,mixed,screen
S3,remote,screen
S4,remote,screen
S5,remote,screen
S6,n/a,screen
S7,n/a,n/a
S8,onsite,screen
S9,remote,screen
S10,onsite,screen
S11,onsite,screen
S12,onsite,screen
S13,onsite,screen
S14,onsite,screen
S15,onsite,screen
S16,onsite,n/a
S17,onsite,screen
S18,onsite,screen
S19,onsite,screen
S20,remote,screen
S21,remote,screen
S22,remote,screen
S23,onsite,screen
S24,remote,screen
S25,onsite,screen
S26,onsite,paper
S27,remote,screen
S28,remote,screen
S29,onsite,screen
S30,onsite,n/a
S31,onsite,paper
S32,onsite,paper
S33,n/a,screen
S34,onsite,paper
S35,onsite,paper
S36,onsite,paper
S37,onsite,screen
S38,onsite,screen
S39,mixed,screen
S40,remote,screen
S41,n/a,screen
S42,n/a,screen
S43,onsite,paper
S44,onsite,screen
S45,onsite,paper
S46,onsite,screen
S47,onsite,screen
S48,onsite,n/a
S49,onsite,screen
S50,remote,screen
S51,onsite,screen
S52,onsite,screen
S53,onsite,screen
S54,onsite,screen
S55,onsite,screen
S56,onsite,screen
S57,onsite,screen
S58,onsite,screen
S59,onsite,screen
S60,onsite,screen
S61,onsite,paper
S62,onsite,screen
S63,onsite,screen
S64,onsite,screen
S65,onsite,screen
S66,remote,screen
S67,onsite,paper
S68,onsite,screen
S69,remote,screen
S70,onsite,screen
S71,onsite,paper
S72,onsite,paper
S73,onsite,paper
S74,onsite,paper
S75,onsite,screen
S76,onsite,paper
S77,onsite,paper
S78,n/a,n/a
S79,onsite,n/a
S80,onsite,screen
S81,onsite,screen
S82,onsite,paper
S83,onsite,paper
S84,onsite,screen
S85,onsite,screen
S86,onsite,screen
S87,onsite,screen
S88,onsite,screen
S89,n/a,screen
S90,onsite,mixed
S91,onsite,paper
S92,onsite,paper
S93,onsite,paper
S94,onsite,screen
S95,onsite,screen