ID,m: physiological,m: correctness,m: time,m: subjective rating,m: combination (aggregation),m: others,# measures,Tc1,Tc2,Tc3,Tc4,#task categories
S1,1,0,0,0,0,0,1,1,0,0,0,1
S2,0,1,0,0,0,0,1,1,0,0,0,1
S3,0,0,1,0,0,0,1,0,0,1,0,1
S4,0,1,1,1,0,0,3,1,1,0,1,3
S5,0,1,1,1,1,0,4,1,1,0,0,2
S6,0,0,0,1,0,0,1,0,1,0,0,1
S7,0,1,1,0,0,0,2,1,0,0,0,1
S8,0,1,1,0,0,0,2,1,0,0,0,1
S9,0,1,1,0,1,0,3,1,0,0,0,1
S10,0,1,0,0,0,0,1,0,0,1,0,1
S11,0,1,1,0,0,0,2,1,0,0,0,1
S12,0,0,0,1,0,0,1,1,1,0,0,2
S13,1,0,0,0,0,0,1,1,0,0,0,1
S14,0,0,0,1,0,0,1,1,1,0,0,2
S15,0,1,1,0,0,0,2,1,0,0,0,1
S16,0,0,0,0,0,0,0,1,0,0,0,1
S17,0,0,0,0,0,0,0,1,0,0,0,1
S18,0,0,0,1,0,0,1,0,0,0,0,0
S19,0,0,0,1,0,0,1,0,0,0,0,0
S20,0,1,1,0,0,0,2,1,0,0,1,2
S21,0,0,0,1,0,1,2,0,1,0,0,1
S22,0,0,0,1,0,0,1,0,1,0,0,1
S23,0,1,0,1,0,0,2,1,1,0,0,2
S24,0,1,0,1,0,0,2,1,1,0,0,2
S25,0,1,1,0,0,0,2,1,0,0,0,1
S26,0,1,1,0,1,0,3,0,0,1,1,2
S27,0,1,1,0,1,0,3,0,0,1,1,2
S28,0,1,1,0,0,1,3,0,0,1,0,1
S29,1,1,1,0,0,0,3,1,0,0,0,1
S30,0,1,0,0,0,0,1,0,0,0,1,1
S31,0,1,0,1,0,0,2,1,1,0,0,2
S32,0,1,0,0,0,0,1,1,0,0,0,1
S33,0,1,1,1,0,0,3,1,1,1,0,3
S34,0,1,0,1,0,0,2,1,1,0,0,2
S35,0,1,0,0,0,0,1,1,0,0,0,1
S36,0,1,0,1,0,0,2,1,1,0,0,2
S37,1,0,0,0,0,0,1,1,0,0,0,1
S38,1,1,0,1,0,0,3,1,1,1,0,3
S39,0,1,1,0,0,0,2,1,0,0,0,1
S40,0,0,0,1,0,0,1,0,1,0,0,1
S41,0,0,0,1,0,0,1,0,1,0,0,1
S42,0,0,0,1,0,0,1,1,1,0,0,2
S43,0,1,1,0,0,0,2,1,0,0,0,1
S44,0,1,1,0,0,0,2,1,0,0,0,1
S45,0,1,0,0,0,0,1,1,0,0,0,1
S46,0,0,1,1,0,0,2,1,1,0,0,2
S47,1,0,0,0,0,1,2,1,0,0,0,1
S48,0,1,1,0,0,0,2,1,0,0,0,1
S49,1,1,1,0,0,0,3,1,1,0,0,2
S50,0,1,1,0,0,0,2,1,0,0,0,1
S51,0,1,0,1,0,0,2,1,1,0,0,2
S52,0,1,1,0,0,0,2,1,0,0,0,1
S53,0,0,0,1,0,0,1,0,1,0,0,1
S54,,,,,,0,0,1,0,0,0,1
S55,1,1,1,0,0,0,3,0,0,1,0,1
S56,0,1,1,0,0,0,2,1,0,0,0,1
S57,1,1,1,0,0,0,3,1,0,0,0,1
S58,1,0,0,0,0,0,1,1,0,0,0,1
S59,1,1,1,0,0,1,4,1,0,0,0,1
S60,0,1,1,0,0,0,2,1,0,0,0,1
S61,0,1,0,0,0,0,1,1,0,0,0,1
S62,0,1,0,0,0,0,1,1,0,0,0,1
S63,0,1,1,0,0,0,2,1,0,0,0,1
S64,1,0,1,0,0,0,2,0,0,1,0,1
S65,0,1,0,0,0,0,1,0,0,0,1,1
S66,0,1,0,0,0,0,1,1,0,0,0,1
S67,0,1,0,0,0,0,1,1,0,0,0,1
S68,1,1,0,0,0,0,2,1,0,0,0,1
S69,0,1,1,1,0,0,3,1,1,0,0,2
S70,1,0,0,1,0,0,2,1,1,0,0,2
S71,0,1,0,1,0,0,2,1,0,0,0,1
S72,0,1,0,0,0,0,1,1,0,0,0,1
S73,0,1,0,0,0,0,1,1,0,0,0,1
S74,0,1,1,0,0,0,2,1,0,0,1,2
S75,1,1,0,1,0,0,3,1,1,0,0,2
S76,0,1,0,0,0,0,1,1,0,0,0,1
S77,0,1,0,0,0,0,1,1,0,1,0,2
S78,0,0,0,1,0,0,1,0,1,0,0,1
S79,0,1,1,0,0,0,2,1,0,0,0,1
S80,0,1,1,0,0,0,2,1,0,0,0,1
S81,0,1,1,1,0,1,4,1,0,0,0,1
S82,0,1,1,0,0,0,2,1,0,0,1,2
S83,0,1,1,0,0,0,2,1,0,0,0,1
S84,1,0,0,0,0,0,1,1,0,0,0,1
S85,1,1,1,1,0,0,4,1,1,0,0,2
S86,0,1,0,0,0,0,1,1,0,0,0,1
S87,1,1,1,0,0,0,3,1,0,1,0,2
S88,0,1,0,0,0,0,1,1,0,0,0,1
S89,0,1,1,0,0,0,2,1,0,0,0,1
S90,0,1,1,0,0,0,2,1,0,0,0,1
S91,0,1,0,0,0,0,1,1,0,0,0,1
S92,0,1,0,0,0,0,1,1,0,0,0,1
S93,0,1,1,0,0,0,2,1,0,0,0,1
S94,1,1,0,1,0,0,3,1,1,0,0,2
S95,0,1,0,0,0,0,1,1,0,0,0,1