ID,min # of included participants to answer a RQ,max # of included participants to answer a RQ,(min+max)/2,sample size (partially) unclear,contains students,contains professionals,contains faculty,demographics (partially) unclear
S1,11,17,14,0,1,0,0,0
S2,43,73,58,0,1,0,0,0
S3,72,72,72,0,0,1,0,0
S4,104,104,104,0,1,0,0,0
S5,5,63,34,0,1,1,0,0
S6,120,120,120,0,1,0,0,0
S7,15,18,16.5,0,1,1,0,0
S8,38,38,38,0,1,1,0,0
S9,220,220,220,0,0,1,0,0
S10,20,20,20,0,0,1,0,0
S11,128,128,128,0,1,0,0,0
S12,15,15,15,0,0,1,0,0
S13,11,11,11,0,1,0,0,0
S14,38,38,38,0,1,1,0,0
S15,18,18,18,0,1,0,0,0
S16,10,10,10,0,1,0,0,0
S17,22,22,22,0,1,0,0,0
S18,26,26,26,0,,,,1
S19,30,30,30,0,,,,1
S20,44,44,44,0,1,1,0,0
S21,15,28,21.5,0,1,1,0,0
S22,97,97,97,0,0,1,0,0
S23,8,8,8,0,1,0,0,0
S24,128,128,128,0,1,1,0,0
S25,22,22,22,0,1,1,0,0
S26,56,56,56,0,1,0,0,0
S27,277,277,277,0,1,1,0,0
S28,88,88,88,0,1,1,0,0
S29,34,34,34,0,1,1,0,0
S30,60,70,65,0,1,0,0,0
S31,89,89,89,0,1,0,0,0
S32,148,148,148,0,1,0,0,0
S33,275,275,275,0,1,1,0,0
S34,38,38,38,0,1,0,0,0
S35,93,264,178.5,1,1,0,0,0
S36,86,86,86,0,1,0,0,0
S37,20,20,20,0,1,1,0,0
S38,25,25,25,0,1,0,0,0
S39,162,162,162,0,1,1,0,0
S40,206,206,206,0,1,0,1,0
S41,8,8,8,0,1,0,1,0
S42,22,22,22,0,1,0,0,0
S43,88,88,88,0,1,0,0,0
S44,80,80,80,0,0,1,0,0
S45,75,75,75,0,1,0,0,0
S46,9,9,9,0,0,1,0,0
S47,16,16,16,0,1,0,0,0
S48,168,168,168,0,1,1,0,0
S49,20,20,20,0,1,0,1,0
S50,231,231,231,0,1,0,0,0
S51,30,30,30,0,0,1,0,0
S52,19,19,19,0,1,0,0,0
S53,10,10,10,0,1,1,0,0
S54,8,8,8,0,1,0,0,0
S55,14,14,14,0,1,0,1,0
S56,30,30,30,0,1,0,0,0
S57,24,24,24,0,1,1,0,0
S58,18,18,18,0,1,1,0,0
S59,22,22,22,0,1,0,0,0
S60,34,34,34,0,1,0,0,0
S61,76,160,118,0,1,0,0,0
S62,76,76,76,0,1,0,0,0
S63,61,61,61,0,1,1,0,0
S64,20,20,20,0,1,0,1,0
S65,21,42,31.5,0,1,0,1,0
S66,158,158,158,0,1,1,0,0
S67,81,81,81,0,1,0,0,0
S68,17,17,17,0,1,0,0,0
S69,30,30,30,1,1,1,0,0
S70,34,34,34,0,1,0,0,0
S71,79,79,79,0,1,0,0,0
S72,12,36,24,0,1,1,1,0
S73,36,36,36,0,0,1,0,0
S74,41,139,90,0,1,1,0,0
S75,21,21,21,0,1,0,0,0
S76,18,43,30.5,0,1,0,0,0
S77,117,117,117,0,1,0,0,0
S78,114,114,114,0,1,0,0,0
S79,275,275,275,0,1,0,0,0
S80,19,19,19,0,1,0,0,0
S81,82,82,82,0,1,0,0,0
S82,12,12,12,0,1,0,0,0
S83,44,44,44,0,1,0,0,0
S84,11,11,11,0,1,1,0,0
S85,19,45,32,0,1,0,1,0
S86,5,5,5,0,1,0,0,0
S87,38,38,38,0,1,0,0,0
S88,26,26,26,0,1,0,0,0
S89,33,33,33,0,,,,1
S90,40,40,40,0,,,,1
S91,86,86,86,0,1,0,0,0
S92,211,211,211,0,1,0,0,0
S93,11,11,11,0,1,0,0,0
S94,28,28,28,0,1,0,0,0
S95,16,16,16,0,1,0,0,0